date,AAPLclose,axpclose,catclose,baclose,cscoclose,cvxclose,ibmclose,msftclose,pgclose,xomclose
2014-05-29,83.8701,84.8313,88.6335,120.1974,21.313000000000002,102.0893,155.304,35.9971,68.7089,85.2901
2014-05-30,83.5559,85.0358,89.2278,120.2952,21.1928,101.9227,155.8808,36.294000000000004,68.9662,85.4674
2014-06-02,82.9817,85.3982,88.0478,120.8733,21.1413,102.3143,156.3898,36.8338,69.3007,84.8428
2014-06-03,84.1552,85.2495,89.3656,120.8555,21.2787,101.831,157.518,36.6989,68.9319,84.3449
2014-06-04,85.1162,85.3239,89.9943,120.3664,21.1885,102.1143,156.3983,36.249,68.563,84.7247
2014-06-05,85.4501,86.2439,89.8393,121.6916,21.0383,101.9477,156.517,36.275999999999996,68.503,84.4293
2014-06-06,85.2152,88.2049,92.1216,122.9635,21.21,102.9226,157.764,37.0767,68.7174,84.8597
2014-06-09,86.5788,88.8182,93.1724,122.7055,21.3216,103.4809,158.0948,37.3197,68.6488,85.7459
2014-06-10,87.087,88.5487,93.6633,122.0741,21.2959,103.6308,157.9676,37.1307,68.7003,85.6784
2014-06-11,86.7266,88.3629,94.1456,119.2724,21.4676,104.4391,156.3304,36.9868,68.7518,85.6277
2014-06-12,85.2759,88.0655,93.6116,117.5735,21.502,104.3058,154.5999,36.7619,68.6746,86.0413
2014-06-13,84.3427,88.1491,91.8547,117.6625,21.1756,105.0807,153.7262,36.5099,68.4172,85.7965
2014-06-16,85.1928,87.70299999999999,91.958,117.8848,21.21,106.0389,154.8629,37.0947,68.3143,86.632
2014-06-17,85.0819,87.9725,91.9925,117.8048,21.064,107.1055,154.6847,37.3377,68.3572,86.8599
2014-06-18,85.1743,88.809,91.8719,117.8315,21.0383,107.3471,154.6084,37.4996,68.2628,86.4379
2014-06-19,84.8786,88.3536,92.5695,118.1339,21.1499,108.5553,155.7451,37.4726,68.4429,86.6995
2014-06-20,84.0008,88.7904,92.3714,117.4935,21.2186,109.9802,155.0834,37.3467,68.829,86.6151
2014-06-23,83.9269,88.7625,94.2059,116.3817,21.3216,110.2718,154.0061,37.4996,68.563,87.6279
2014-06-24,83.4187,87.7588,93.6892,114.8697,21.21,110.8051,154.5066,37.7785,68.2113,88.0921
2014-06-25,83.4926,87.9539,92.8537,113.0108,21.064,109.7969,153.4377,37.5581,67.7739,86.6995
2014-06-26,83.9916,87.63799999999999,93.3963,113.8646,21.2272,109.3469,153.30200000000002,37.8145,68.0398,86.2016
2014-06-27,84.9895,88.2235,93.4652,114.3271,21.1671,109.0886,153.0051,37.5356,67.4393,86.1088
2014-06-30,85.8673,88.1677,93.6892,113.162,21.21,108.62200000000001,154.1418,38.0124,67.7825,85.4167
2014-07-01,86.4124,88.6138,93.5944,113.9803,21.3388,108.7803,153.7686,37.5176,67.4136,84.9694
2014-07-02,86.3755,88.4837,94.0251,113.5089,21.5363,108.772,158.0779,37.6706,68.0055,85.5433
2014-07-03,86.8837,89.0692,94.361,114.3004,21.6574,108.5137,159.8084,37.6975,68.2457,85.7206
2014-07-07,88.6744,88.6603,95.6701,114.8163,21.7959,109.3136,159.9271,37.6076,68.6059,86.5814
2014-07-08,88.1034,87.8889,94.8777,112.7706,21.8305,108.7136,159.5115,37.7785,68.7861,86.632
2014-07-09,88.1403,88.2896,94.2748,112.7706,21.6921,108.2387,158.8159,37.5896,69.1034,86.7839
2014-07-10,87.8123,88.0287,94.8605,112.7706,22.0122,109.4802,159.8338,37.4906,70.0556,87.3916
2014-07-11,87.9832,88.038,94.1887,113.9269,22.0122,108.5303,159.22299999999998,37.5041,70.0041,86.5645
2014-07-14,89.1197,88.1032,94.7055,115.1988,22.0814,107.0472,159.4775,37.8685,69.6181,85.86399999999999
2014-07-15,88.0756,88.0193,94.8174,114.8252,22.0122,107.7054,161.0553,37.9135,69.7554,86.6573
2014-07-16,87.5767,88.038,94.6107,113.331,22.2112,107.7054,159.8932,38.1924,69.7039,86.4126
2014-07-17,86.015,86.6587,95.9457,111.9613,22.4794,109.0636,163.17600000000002,39.6589,69.9837,87.5773
2014-07-18,87.2533,87.162,95.4864,113.5266,22.1766,108.3887,163.2863,40.0638,69.6465,86.3451
2014-07-21,86.7996,86.5562,95.4864,114.1137,22.4189,108.647,163.2948,40.2077,69.6465,86.6995
2014-07-22,87.5212,87.0129,95.5384,115.3944,22.366999999999997,109.3969,161.8951,40.3382,69.413,86.9949
2014-07-23,89.8035,86.929,95.391,112.6995,22.4535,110.4718,164.6436,40.3337,69.2574,87.3831
2014-07-24,89.6557,86.8078,93.9349,110.6449,22.2199,111.555,164.2534,40.3697,69.1623,87.9824
2014-07-25,90.24799999999999,85.6709,91.0401,109.5776,22.3497,112.3633,165.6191,39.9468,69.3957,88.0077
2014-07-28,91.4944,85.6057,90.8754,109.4531,22.4708,111.2967,164.9065,40.0368,68.7905,87.0793
2014-07-29,90.9031,85.4659,90.2687,108.7949,22.4275,111.0217,166.0772,39.5599,68.5311,87.1384
2014-07-30,90.6905,84.7204,90.7368,108.7682,22.2458,110.3385,165.0508,39.4835,68.0037,87.3916
2014-07-31,88.3344,82.0085,89.6014,107.1583,22.1766,110.4301,164.5672,39.2077,67.58,87.1384
2014-08-01,88.8241,81.0113,87.3219,107.0694,21.8305,107.6888,162.5907,38.8312,66.8537,83.5009
2014-08-04,88.3251,81.0113,87.1225,106.6692,21.6315,106.5722,160.4531,38.5613,68.8683,83.3828
2014-08-05,87.8908,80.4801,88.2406,107.861,21.7743,106.7972,160.8687,39.0201,68.4965,84.5053
2014-08-06,87.743,80.5174,87.9719,105.8924,21.6055,104.1225,158.7141,38.7592,68.6608,82.8764
2014-08-07,87.7337,80.1633,87.9633,107.2347,21.5709,104.7641,158.6884,38.4533,70.1134,83.5347
2014-08-08,87.9751,81.5146,88.3533,107.9416,21.5104,104.6974,157.2634,38.8941,69.292,82.9355
2014-08-11,89.1358,81.03,89.5147,108.0937,21.6574,106.5389,159.2516,38.8672,69.9923,84.1761
2014-08-12,89.1173,81.1511,90.5721,107.7984,21.8305,106.4139,159.9684,38.8672,70.4506,83.9042
2014-08-13,90.2966,81.4493,91.5775,109.1496,21.7613,105.8973,159.8575,39.1551,70.3987,83.7002
2014-08-14,90.538,81.3282,91.1441,111.0555,21.8045,106.3222,160.378,39.6589,70.4506,84.2101
2014-08-15,90.9837,80.7038,91.5775,110.2054,21.2335,105.7889,160.3182,39.8298,70.857,84.2101
2014-08-18,92.0795,81.2257,91.6468,111.834,21.1383,105.9654,159.8916,40.2977,70.71,84.1591
2014-08-19,93.3517,82.1203,92.7215,112.3709,21.3113,106.1335,161.5811,40.5856,71.2806,84.5755
2014-08-20,93.3888,82.4651,92.9989,113.9547,21.32,107.2511,162.187,41.0382,71.4968,84.55
2014-08-21,93.3981,83.0709,93.3456,114.0889,21.3806,107.1335,162.2126,40.6942,71.6005,84.7285
2014-08-22,94.0853,82.8286,93.5796,114.0532,21.5363,107.5032,163.1768,40.9387,72.0069,84.3716
2014-08-25,94.2895,83.4902,93.0076,114.8316,21.3286,106.8142,162.4771,40.8753,72.102,83.7087
2014-08-26,93.685,83.0802,93.5796,115.0732,21.3719,107.4276,163.1171,40.8934,72.2317,83.9212
2014-08-27,94.8374,83.1641,93.6576,114.7153,21.4671,107.7721,164.6786,40.744,72.0934,84.6775
2014-08-28,94.9488,82.959,94.0823,113.74,21.4584,108.0999,164.0472,40.6218,72.0329,84.584
2014-08-29,95.181,83.45299999999999,94.169,113.4626,21.5017,108.1923,163.8338,40.6309,71.7908,84.618
2014-09-02,95.9239,83.6114,94.53299999999999,112.2814,21.6228,108.7805,164.0898,41.1288,71.8599,84.5245
2014-09-03,91.8752,84.0028,94.40299999999999,112.693,21.5277,107.1755,163.4584,40.821,71.7475,83.7002
2014-09-04,91.1138,83.5461,94.0043,112.2635,21.6661,107.4444,163.7912,40.7033,71.6784,84.2271
2014-09-05,91.9031,83.5089,94.3163,111.5745,21.5536,106.5537,162.7075,40.9749,72.3701,83.5897
2014-09-08,91.3366,82.8752,94.0736,114.5185,21.6315,107.0579,163.1512,41.5633,72.4306,84.3546
2014-09-09,90.993,81.9153,93.5276,114.7243,21.5882,106.0579,162.2467,42.0703,72.0415,83.0883
2014-09-10,93.7881,82.3906,93.0856,114.7332,21.5104,105.1923,162.1187,42.3329,71.7562,82.7654
2014-09-11,94.1874,82.3999,91.8115,114.2142,21.5709,104.436,163.4413,42.4053,72.3182,82.2725
2014-09-12,94.40100000000001,81.673,91.5168,113.5968,21.7872,104.0579,163.5949,42.5501,72.1885,82.4594
2014-09-15,94.3731,81.4307,91.0228,113.0241,21.7699,103.0747,163.2195,42.273999999999994,71.9896,81.3972
2014-09-16,93.6581,82.344,90.8841,113.9279,21.6834,104.4024,163.6717,41.8621,72.5171,81.8306
2014-09-17,94.3267,83.0056,90.8841,114.3216,21.8218,105.0075,164.653,42.3329,72.6986,82.7994
